nohup: ignoring input
[108/9446] ok: https://www.adzuna.com.au/details/5091423631?utm_medium=api&utm_source
[109/9446] ok: https://www.adzuna.com.au/details/5091430526?utm_medium=api&utm_source
[110/9446] ok: https://www.adzuna.com.au/details/5091492115?utm_medium=api&utm_source
[111/9446] ok: https://www.adzuna.com.au/details/5100743197?utm_medium=api&utm_source
[112/9446] ok: https://www.adzuna.com.au/details/5104714712?utm_medium=api&utm_source
[113/9446] ok: https://www.adzuna.com.au/details/5108640678?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5108641409?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5108641409?utm_medium=api&utm_source=4e892bd2
[114/9446] no description: https://www.adzuna.com.au/details/5108641409?utm_medium=api&utm_source
[115/9446] ok: https://www.adzuna.com.au/details/5111946818?utm_medium=api&utm_source
[116/9446] ok: https://www.adzuna.com.au/details/5113250648?utm_medium=api&utm_source
[117/9446] ok: https://www.adzuna.com.au/details/5118196130?utm_medium=api&utm_source
[118/9446] ok: https://www.adzuna.com.au/details/5118239184?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5120326820?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5120326820?utm_medium=api&utm_source=4e892bd2
[119/9446] no description: https://www.adzuna.com.au/details/5120326820?utm_medium=api&utm_source
[120/9446] ok: https://www.adzuna.com.au/details/5120328108?utm_medium=api&utm_source
[121/9446] ok: https://www.adzuna.com.au/details/5120328435?utm_medium=api&utm_source
[122/9446] ok: https://www.adzuna.com.au/details/5123734161?utm_medium=api&utm_source
[123/9446] ok: https://www.adzuna.com.au/details/5126023203?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5131434504?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5131434504?utm_medium=api&utm_source=4e892bd2
[124/9446] no description: https://www.adzuna.com.au/details/5131434504?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5134067708?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5134067708?utm_medium=api&utm_source=4e892bd2
[125/9446] no description: https://www.adzuna.com.au/details/5134067708?utm_medium=api&utm_source
[126/9446] ok: https://www.adzuna.com.au/details/5134121686?utm_medium=api&utm_source
[127/9446] ok: https://www.adzuna.com.au/details/5134122218?utm_medium=api&utm_source
[128/9446] ok: https://www.adzuna.com.au/details/5135162168?utm_medium=api&utm_source
[129/9446] ok: https://www.adzuna.com.au/details/5141911814?utm_medium=api&utm_source
[130/9446] ok: https://www.adzuna.com.au/details/5142988937?utm_medium=api&utm_source
[131/9446] ok: https://www.adzuna.com.au/details/5152340174?utm_medium=api&utm_source
[132/9446] ok: https://www.adzuna.com.au/details/5152355473?utm_medium=api&utm_source
[133/9446] ok: https://www.adzuna.com.au/details/5155630453?utm_medium=api&utm_source
[134/9446] ok: https://www.adzuna.com.au/details/5155632630?utm_medium=api&utm_source
[135/9446] ok: https://www.adzuna.com.au/details/5160973064?utm_medium=api&utm_source
[136/9446] ok: https://www.adzuna.com.au/details/5164845732?utm_medium=api&utm_source
[137/9446] ok: https://www.adzuna.com.au/details/5177254959?utm_medium=api&utm_source
[138/9446] ok: https://www.adzuna.com.au/details/5183866227?utm_medium=api&utm_source
[139/9446] ok: https://www.adzuna.com.au/details/5183866759?utm_medium=api&utm_source
[140/9446] ok: https://www.adzuna.com.au/details/5183878058?utm_medium=api&utm_source
[141/9446] ok: https://www.adzuna.com.au/details/5183888902?utm_medium=api&utm_source
[142/9446] ok: https://www.adzuna.com.au/details/5192861699?utm_medium=api&utm_source
[143/9446] ok: https://www.adzuna.com.au/details/5192863292?utm_medium=api&utm_source
[144/9446] ok: https://www.adzuna.com.au/details/5200650330?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5202448275?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5202448275?utm_medium=api&utm_source=4e892bd2
[145/9446] no description: https://www.adzuna.com.au/details/5202448275?utm_medium=api&utm_source
[146/9446] ok: https://www.adzuna.com.au/details/5203100647?utm_medium=api&utm_source
[147/9446] ok: https://www.adzuna.com.au/details/5206615558?utm_medium=api&utm_source
[148/9446] ok: https://www.adzuna.com.au/details/5206617909?utm_medium=api&utm_source
[149/9446] ok: https://www.adzuna.com.au/details/5210502388?utm_medium=api&utm_source
[150/9446] ok: https://www.adzuna.com.au/details/5213227979?utm_medium=api&utm_source
Saved. 0:10:51.464270 elapsed, ~11.2h remaining
[151/9446] ok: https://www.adzuna.com.au/details/5213238308?utm_medium=api&utm_source
[152/9446] ok: https://www.adzuna.com.au/details/5213241019?utm_medium=api&utm_source
[153/9446] ok: https://www.adzuna.com.au/details/5213242673?utm_medium=api&utm_source
[154/9446] ok: https://www.adzuna.com.au/details/5215042947?utm_medium=api&utm_source
[155/9446] ok: https://www.adzuna.com.au/details/5217374348?utm_medium=api&utm_source
[156/9446] ok: https://www.adzuna.com.au/details/5217376395?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5224131286?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5224131286?utm_medium=api&utm_source=4e892bd2
[157/9446] no description: https://www.adzuna.com.au/details/5224131286?utm_medium=api&utm_source
[158/9446] ok: https://www.adzuna.com.au/details/5224131629?utm_medium=api&utm_source
[159/9446] ok: https://www.adzuna.com.au/details/5224149624?utm_medium=api&utm_source
[160/9446] ok: https://www.adzuna.com.au/details/5227601824?utm_medium=api&utm_source
[161/9446] ok: https://www.adzuna.com.au/details/5230618726?utm_medium=api&utm_source
[162/9446] ok: https://www.adzuna.com.au/details/5231364538?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5231402620?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5231402620?utm_medium=api&utm_source=4e892bd2
[163/9446] no description: https://www.adzuna.com.au/details/5231402620?utm_medium=api&utm_source
[164/9446] ok: https://www.adzuna.com.au/details/5233506274?utm_medium=api&utm_source
[165/9446] ok: https://www.adzuna.com.au/details/5233508052?utm_medium=api&utm_source
[166/9446] ok: https://www.adzuna.com.au/details/5233529428?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5236984166?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5236984166?utm_medium=api&utm_source=4e892bd2
[167/9446] no description: https://www.adzuna.com.au/details/5236984166?utm_medium=api&utm_source
[168/9446] ok: https://www.adzuna.com.au/details/5239452370?utm_medium=api&utm_source
[169/9446] ok: https://www.adzuna.com.au/details/5242208166?utm_medium=api&utm_source
[170/9446] ok: https://www.adzuna.com.au/details/5248036800?utm_medium=api&utm_source
[171/9446] ok: https://www.adzuna.com.au/details/5248040603?utm_medium=api&utm_source
[172/9446] ok: https://www.adzuna.com.au/details/5248043681?utm_medium=api&utm_source
[173/9446] ok: https://www.adzuna.com.au/details/5255927005?utm_medium=api&utm_source
[174/9446] ok: https://www.adzuna.com.au/details/5255930773?utm_medium=api&utm_source
[175/9446] ok: https://www.adzuna.com.au/details/5257591023?utm_medium=api&utm_source
[176/9446] ok: https://www.adzuna.com.au/details/5257591026?utm_medium=api&utm_source
[177/9446] ok: https://www.adzuna.com.au/details/5261215051?utm_medium=api&utm_source
[178/9446] ok: https://www.adzuna.com.au/details/5261215296?utm_medium=api&utm_source
[179/9446] ok: https://www.adzuna.com.au/details/5261215384?utm_medium=api&utm_source
[180/9446] ok: https://www.adzuna.com.au/details/5261215400?utm_medium=api&utm_source
[181/9446] ok: https://www.adzuna.com.au/details/5261216354?utm_medium=api&utm_source
[182/9446] ok: https://www.adzuna.com.au/details/5261216480?utm_medium=api&utm_source
[183/9446] ok: https://www.adzuna.com.au/details/5261227242?utm_medium=api&utm_source
[184/9446] ok: https://www.adzuna.com.au/details/5261245758?utm_medium=api&utm_source
[185/9446] ok: https://www.adzuna.com.au/details/5261246503?utm_medium=api&utm_source
[186/9446] ok: https://www.adzuna.com.au/details/5261247549?utm_medium=api&utm_source
[187/9446] ok: https://www.adzuna.com.au/details/5262671133?utm_medium=api&utm_source
[188/9446] ok: https://www.adzuna.com.au/details/5265262329?utm_medium=api&utm_source
[189/9446] ok: https://www.adzuna.com.au/details/5267450883?utm_medium=api&utm_source
[190/9446] ok: https://www.adzuna.com.au/details/5269095654?utm_medium=api&utm_source
[191/9446] ok: https://www.adzuna.com.au/details/5271082581?utm_medium=api&utm_source
[192/9446] ok: https://www.adzuna.com.au/details/5275215163?utm_medium=api&utm_source
[193/9446] ok: https://www.adzuna.com.au/details/5277932561?utm_medium=api&utm_source
[194/9446] ok: https://www.adzuna.com.au/details/5281048532?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5281107186?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5281107186?utm_medium=api&utm_source=4e892bd2
[195/9446] no description: https://www.adzuna.com.au/details/5281107186?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5281107499?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5281107499?utm_medium=api&utm_source=4e892bd2
[196/9446] no description: https://www.adzuna.com.au/details/5281107499?utm_medium=api&utm_source
[197/9446] ok: https://www.adzuna.com.au/details/5281107621?utm_medium=api&utm_source
Error fetching https://www.adzuna.com.au/details/5281108002?utm_medium=api&utm_source: 404 Client Error: Not Found for url: https://www.adzuna.com.au/details/5281108002?utm_medium=api&utm_source=4e892bd2
[198/9446] no description: https://www.adzuna.com.au/details/5281108002?utm_medium=api&utm_source
[199/9446] ok: https://www.adzuna.com.au/details/5281108015?utm_medium=api&utm_source
[200/9446] ok: https://www.adzuna.com.au/details/5281108084?utm_medium=api&utm_source
Saved. 0:14:24.495887 elapsed, ~11.1h remaining
[201/9446] ok: https://www.adzuna.com.au/details/5281108264?utm_medium=api&utm_source
[202/9446] ok: https://www.adzuna.com.au/details/5281109103?utm_medium=api&utm_source
[203/9446] ok: https://www.adzuna.com.au/details/5281109255?utm_medium=api&utm_source
[204/9446] ok: https://www.adzuna.com.au/details/5281112915?utm_medium=api&utm_source
[205/9446] ok: https://www.adzuna.com.au/details/5283036746?utm_medium=api&utm_source
[206/9446] ok: https://www.adzuna.com.au/details/5283559142?utm_medium=api&utm_source
[207/9446] ok: https://www.adzuna.com.au/details/5284216658?utm_medium=api&utm_source
